id, label, obsolete
"arts","label.directories.subject.arts","0"
"business","label.directories.subject.business","0"
"computers","label.directories.subject.computers","0"
"games","label.directories.subject.games","0"
"health","label.directories.subject.health","0"
"home","label.directories.subject.home","0"
"kids-and-teens","label.directories.subject.kidsAndTeens","0"
"news","label.directories.subject.News","0"
"recreation","label.directories.subject.recreation","0"
"reference","label.directories.subject.reference","0"
"regional","label.directories.subject.regional","0"
"science","label.directories.subject.science","0"
"shopping","label.directories.subject.shopping","0"
"society","label.directories.subject.society","0"
"sports","label.directories.subject.sports","0"
