id, label, parent, obsolete
"Afghanistan","label.directories.country.Afghanistan","asia","0"
"Aland_Islands","label.directories.country.Aland_Islands","europe","0"
"Albania","label.directories.country.Albania","europe","0"
"Algeria","label.directories.country.Algeria","africa","0"
"American_Samoa","label.directories.country.American_Samoa","oceania","0"
"Andorra","label.directories.country.Andorra","europe","0"
"Angola","label.directories.country.Angola","africa","0"
"Anguilla","label.directories.country.Anguilla","north-america","0"
"Antarctica_the_territory_South_of_60_deg_S","label.directories.country.Antarctica_the_territory_South_of_60_deg_S","antarctica","0"
"Antigua_and_Barbuda","label.directories.country.Antigua_and_Barbuda","north-america","0"
"Argentina","label.directories.country.Argentina","south-america","0"
"Armenia","label.directories.country.Armenia","asia","0"
"Aruba","label.directories.country.Aruba","north-america","0"
"Australia","label.directories.country.Australia","oceania","0"
"Austria","label.directories.country.Austria","europe","0"
"Azerbaijan","label.directories.country.Azerbaijan","asia","0"
"Bahamas","label.directories.country.Bahamas","north-america","0"
"Bahrain","label.directories.country.Bahrain","asia","0"
"Bangladesh","label.directories.country.Bangladesh","asia","0"
"Barbados","label.directories.country.Barbados","north-america","0"
"Belarus","label.directories.country.Belarus","europe","0"
"Belgium","label.directories.country.Belgium","europe","0"
"Belize","label.directories.country.Belize","north-america","0"
"Benin","label.directories.country.Benin","africa","0"
"Bermuda","label.directories.country.Bermuda","north-america","0"
"Bhutan","label.directories.country.Bhutan","asia","0"
"Bolivia","label.directories.country.Bolivia","south-america","0"
"Bosnia_and_Herzegovina","label.directories.country.Bosnia_and_Herzegovina","europe","0"
"Botswana","label.directories.country.Botswana","africa","0"
"Bouvet_Island_Bouvetoya","label.directories.country.Bouvet_Island_Bouvetoya","antarctica","0"
"Brazil","label.directories.country.Brazil","south-america","0"
"British_Indian_Ocean_Territory_Chagos_Archipelago","label.directories.country.British_Indian_Ocean_Territory_Chagos_Archipelago","asia","0"
"British_Virgin_Islands","label.directories.country.British_Virgin_Islands","north-america","0"
"Brunei_Darussalam","label.directories.country.Brunei_Darussalam","asia","0"
"Bulgaria","label.directories.country.Bulgaria","europe","0"
"Burkina_Faso","label.directories.country.Burkina_Faso","africa","0"
"Burundi","label.directories.country.Burundi","africa","0"
"Cambodia","label.directories.country.Cambodia","asia","0"
"Cameroon","label.directories.country.Cameroon","africa","0"
"Canada","label.directories.country.Canada","north-america","0"
"Cape_Verde","label.directories.country.Cape_Verde","africa","0"
"Cayman_Islands","label.directories.country.Cayman_Islands","north-america","0"
"Central_African_Republic","label.directories.country.Central_African_Republic","africa","0"
"Chad","label.directories.country.Chad","africa","0"
"Chile","label.directories.country.Chile","south-america","0"
"China","label.directories.country.China","asia","0"
"Christmas_Island","label.directories.country.Christmas_Island","asia","0"
"Cocos_Keeling_Islands","label.directories.country.Cocos_Keeling_Islands","asia","0"
"Colombia","label.directories.country.Colombia","south-america","0"
"Comoros","label.directories.country.Comoros","africa","0"
"Congo_Republic","label.directories.country.Congo_Republic","africa","0"
"Congo_Democratic_Republic","label.directories.country.Congo_Democratic_Republic","africa","0"
"Cook_Islands","label.directories.country.Cook_Islands","oceania","0"
"Costa_Rica","label.directories.country.Costa_Rica","north-america","0"
"Cote_D_Ivoire","label.directories.country.Cote_D_Ivoire","africa","0"
"Croatia","label.directories.country.Croatia","europe","0"
"Cuba","label.directories.country.Cuba","north-america","0"
"Cyprus","label.directories.country.Cyprus","asia","0"
"Czech_Republic","label.directories.country.Czech_Republic","europe","0"
"Denmark","label.directories.country.Denmark","europe","0"
"Djibouti","label.directories.country.Djibouti","africa","0"
"Dominica","label.directories.country.Dominica","north-america","0"
"Dominican_Republic","label.directories.country.Dominican_Republic","north-america","0"
"Ecuador","label.directories.country.Ecuador","south-america","0"
"Egypt","label.directories.country.Egypt","africa","0"
"El_Salvador","label.directories.country.El_Salvador","north-america","0"
"Equatorial_Guinea","label.directories.country.Equatorial_Guinea","africa","0"
"Eritrea","label.directories.country.Eritrea","africa","0"
"Estonia","label.directories.country.Estonia","europe","0"
"Ethiopia","label.directories.country.Ethiopia","africa","0"
"Faroe_Islands","label.directories.country.Faroe_Islands","europe","0"
"Falkland_Islands_Malvinas","label.directories.country.Falkland_Islands_Malvinas","south-america","0"
"Fiji","label.directories.country.Fiji","oceania","0"
"Finland","label.directories.country.Finland","europe","0"
"France","label.directories.country.France","europe","0"
"French_Guiana","label.directories.country.French_Guiana","south-america","0"
"French_Polynesia","label.directories.country.French_Polynesia","oceania","0"
"French_Southern_Territories","label.directories.country.French_Southern_Territories","antarctica","0"
"Gabon","label.directories.country.Gabon","africa","0"
"Gambia","label.directories.country.Gambia","africa","0"
"Georgia","label.directories.country.Georgia","asia","0"
"Germany","label.directories.country.Germany","europe","0"
"Ghana","label.directories.country.Ghana","africa","0"
"Gibraltar","label.directories.country.Gibraltar","europe","0"
"Greece","label.directories.country.Greece","europe","0"
"Greenland","label.directories.country.Greenland","north-america","0"
"Grenada","label.directories.country.Grenada","north-america","0"
"Guadaloupe","label.directories.country.Guadaloupe","north-america","0"
"Guam","label.directories.country.Guam","oceania","0"
"Guatemala","label.directories.country.Guatemala","north-america","0"
"Guernsey","label.directories.country.Guernsey","europe","0"
"Guinea","label.directories.country.Guinea","africa","0"
"Guinea_Bissau","label.directories.country.Guinea_Bissau","africa","0"
"Guyana","label.directories.country.Guyana","south-america","0"
"Haiti","label.directories.country.Haiti","north-america","0"
"Heard_and_McDonald_Islands","label.directories.country.Heard_and_McDonald_Islands","antarctica","0"
"Holy_See_Vatican_City_State","label.directories.country.Holy_See_Vatican_City_State","europe","0"
"Honduras","label.directories.country.Honduras","north-america","0"
"Hong_Kong","label.directories.country.Hong_Kong","asia","0"
"Hungary","label.directories.country.Hungary","europe","0"
"Iceland","label.directories.country.Iceland","europe","0"
"India","label.directories.country.India","asia","0"
"Indonesia","label.directories.country.Indonesia","asia","0"
"Iran","label.directories.country.Iran","asia","0"
"Iraq","label.directories.country.Iraq","asia","0"
"Ireland","label.directories.country.Ireland","europe","0"
"Isle_of_Man","label.directories.country.Isle_of_Man","europe","0"
"Israel","label.directories.country.Israel","asia","0"
"Italy","label.directories.country.Italy","europe","0"
"Jamaica","label.directories.country.Jamaica","north-america","0"
"Japan","label.directories.country.Japan","asia","0"
"Jersey","label.directories.country.Jersey","europe","0"
"Jordan","label.directories.country.Jordan","asia","0"
"Kazakhstan","label.directories.country.Kazakhstan","asia","0"
"Kenya","label.directories.country.Kenya","africa","0"
"Kiribati","label.directories.country.Kiribati","oceania","0"
"North_Korea","label.directories.country.North_Korea","asia","0"
"South_Korea","label.directories.country.South_Korea","asia","0"
"Kuwait","label.directories.country.Kuwait","asia","0"
"Kyrgyz_Republic","label.directories.country.Kyrgyz_Republic","asia","0"
"Lao_People_s_Democratic_Republic","label.directories.country.Lao_People_s_Democratic_Republic","asia","0"
"Latvia","label.directories.country.Latvia","europe","0"
"Lebanon","label.directories.country.Lebanon","asia","0"
"Lesotho","label.directories.country.Lesotho","africa","0"
"Liberia","label.directories.country.Liberia","africa","0"
"Libyan_Arab_Jamahiriya","label.directories.country.Libyan_Arab_Jamahiriya","africa","0"
"Liechtenstein","label.directories.country.Liechtenstein","europe","0"
"Lithuania","label.directories.country.Lithuania","europe","0"
"Luxembourg","label.directories.country.Luxembourg","europe","0"
"Macao","label.directories.country.Macao","asia","0"
"Macedonia","label.directories.country.Macedonia","europe","0"
"Madagascar","label.directories.country.Madagascar","africa","0"
"Malawi","label.directories.country.Malawi","africa","0"
"Malaysia","label.directories.country.Malaysia","asia","0"
"Maldives","label.directories.country.Maldives","asia","0"
"Mali","label.directories.country.Mali","africa","0"
"Malta","label.directories.country.Malta","europe","0"
"Marshall_Islands","label.directories.country.Marshall_Islands","oceania","0"
"Martinique","label.directories.country.Martinique","north-america","0"
"Mauritania","label.directories.country.Mauritania","africa","0"
