id, label_en, label_fr, parent, obsolete
"europe","Europe","Europe","","0"
"africa","Africa","Afrique","","0"
"north-america","North-america","Amérique du nord","","0"
"south-america","South-america","Amérique du sud","","0"
"asia","Asia","Asie","","0"
"oceania","Oceania","Oceanie","","0"
"antarctica","Antarctica","Antarctique","","0"
"Afghanistan","Afghanistan","Afghanistan","asia","0"
"Aland_Islands","Aland Islands","Åland","europe","0"
"Albania","Albania","Albanie","europe","0"
"Algeria","Algeria","Algérie","africa","0"
"American_Samoa","American Samoa","Samoa américaines","oceania","0"
"Andorra","Andorra","Andorre","europe","0"
"Angola","Angola","Angola","africa","0"
"Anguilla","Anguilla","Anguilla","north-america","0"
"Antarctica_the_territory_South_of_60_deg_S","Antarctica (the territory South of 60 deg S)","Antarctique","antarctica","0"
"Antigua_and_Barbuda","Antigua and Barbuda","Antigua-et-Barbuda","north-america","0"
"Argentina","Argentina","Argentine","south-america","0"
"Armenia","Armenia","Arménie","asia","0"
"Aruba","Aruba","Aruba","north-america","0"
"Australia","Australia","Australie","oceania","0"
"Austria","Austria","Autriche","europe","0"
"Azerbaijan","Azerbaijan","Azerbaïdjan","asia","0"
"Bahamas","Bahamas","Bahamas","north-america","0"
"Bahrain","Bahrain","Bahreïn","asia","0"
"Bangladesh","Bangladesh","Bangladesh","asia","0"
"Barbados","Barbados","Barbade","north-america","0"
"Belarus","Belarus","Biélorussie","europe","0"
"Belgium","Belgium","Belgique","europe","0"
"Belize","Belize","Belize","north-america","0"
"Benin","Benin","Bénin","africa","0"
"Bermuda","Bermuda","Bermudes","north-america","0"
"Bhutan","Bhutan","Bhoutan","asia","0"
"Bolivia","Bolivia","Bolivie","south-america","0"
"Bosnia_and_Herzegovina","Bosnia and Herzegovina","Bosnie-Herzégovine","europe","0"
"Botswana","Botswana","Botswana","africa","0"
"Bouvet_Island_Bouvetoya","Bouvet Island (Bouvetoya)","Île Bouvet","antarctica","0"
"Brazil","Brazil","Brésil","south-america","0"
"British_Indian_Ocean_Territory_Chagos_Archipelago","British Indian Ocean Territory (Chagos Archipelago)","Îles Chagos","asia","0"
"British_Virgin_Islands","British Virgin Islands","Îles Vierges britanniques","north-america","0"
"Brunei_Darussalam","Brunei Darussalam","Brunei","asia","0"
"Bulgaria","Bulgaria","Bulgarie","europe","0"
"Burkina_Faso","Burkina Faso","Burkina Faso","africa","0"
"Burundi","Burundi","Burundi","africa","0"
"Cambodia","Cambodia","Cambodge","asia","0"
"Cameroon","Cameroon","Cameroun","africa","0"
"Canada","Canada","Canada","north-america","0"
"Cape_Verde","Cape Verde","Cap-Vert","africa","0"
"Cayman_Islands","Cayman Islands","Îles Caïmanes","north-america","0"
"Central_African_Republic","Central African Republic","Centrafrique","africa","0"
"Chad","Chad","Tchad","africa","0"
"Chile","Chile","Chili","south-america","0"
"China","China","Chine","asia","0"
"Christmas_Island","Christmas Island","Île Christmas","asia","0"
"Cocos_Keeling_Islands","Cocos (Keeling) Islands","Îles Cocos","asia","0"
"Colombia","Colombia","Colombie","south-america","0"
"Comoros","Comoros","Comores","africa","0"
"Congo_Democratic_Republic","Congo Democratic Republic","République démocratique du Congo","africa","0"
"Congo_Republic","Congo Republic","République du Congo","africa","0"
"Cook_Islands","Cook Islands","Îles Cook","oceania","0"
"Costa_Rica","Costa Rica","Costa Rica","north-america","0"
"Cote_D_Ivoire","Cote D'Ivoire","Cote D'Ivoire","africa","0"
"Croatia","Croatia","Croatie","europe","0"
"Cuba","Cuba","Cuba","north-america","0"
"Cyprus","Cyprus","Chypre","asia","0"
"Czech_Republic","Czech Republic","République tchèque","europe","0"
"Denmark","Denmark","Danemark","europe","0"
"Djibouti","Djibouti","Djibouti","africa","0"
"Dominica","Dominica","Dominique","north-america","0"
"Dominican_Republic","Dominican Republic","République dominicaine","north-america","0"
"Ecuador","Ecuador","Équateur","south-america","0"
"Egypt","Egypt","Égypte","africa","0"
"El_Salvador","El Salvador","Salvador","north-america","0"
"Equatorial_Guinea","Equatorial Guinea","Guinée équatoriale","africa","0"
