id, label_en, label_fr, parent, obsolete
"art","Art","Art","","0"
"daily life","Daily life","Vie quotidienne","","0"
"human sciences","Human science","Sciences Humaines","","0"
"sciences","Science","Sciences","","0"
"society","Society","Société","","0"
"technology","Technology","Technologie","","0"
"architecture","Architecture","Architecture","art","0"
"art history","Art history","Histoire de l'art","art","0"
"astronautic","Astronautic","Astronautique","technology","0"
"astronomy","Astronomy","Astronomie","sciences","0"
"biology","Biology","Biologie","sciences","0"
"chemistry","Chemistry","Chimie","sciences","0"
"cinema","Cinema","Cinéma","art","0"
"collection","Collection","Collection","daily life","0"
"comics","Comics","Bande dessinée","art","0"
"company","Company","Entreprise","society","0"
"culture","Culture","Culture","art","0"
"danse","Dance","Danse","art","0"
"earthscience","Earth science","Science de la Terre","sciences","0"
"ecology","Ecology","Environnement","society","0"
"economy","Economy","Economie","human sciences","0"
"education","Education","Education","society","0"
"electronic","Electronic","Electronique","technology","0"
"energy","Energy","Energie","technology","0"
"fashion","Fashion","Mode","daily life","0"
"games","Games","Jeux","daily life","0"
"gardening","Gardening","Jardinage","daily life","0"
"gastronomy","Gastronomy","Gastronomie","daily life","0"
"geography","Geography","Géographie","human sciences","0"
"history","History","Histoire","human sciences","0"
"humanitarian","Humanitarian","Humanitaire","society","0"
"industry","Industry","Industrie","technology","0"
"information","Information","Information","human sciences","0"
"it","IT","Informatique","technology","0"
"languages","Language","Langue","human sciences","0"
"literature","Literature","Littérature","art","0"
"logic","Logic","Logique","sciences","0"
"math","Mathematics","Mathématique","sciences","0"
"medicine","Medicine","Médecine","sciences","0"
"politic","Minority","Minorité","society","0"
"music","Music","Musique","art","0"
"paint","Paint","Peinture","art","0"
"photography","Photography","Photographie","art","0"
"phylosophy","Philosophy","Philosophie","human sciences","0"
"physic","Physic","Physique","sciences","0"
"psychology","Psychology","Psychologie","human sciences","0"
"religion","Religion","Religion","society","0"
"rights","Rights","Droits","human sciences","0"
"robotic","Robotic","Robotique","technology","0"
"sexuality","Sexuality","Sexualité","daily life","0"
"show","Show","Spectacle","art","0"
"sociology","Sociology","Sociologie","human sciences","0"
"sport","Sport","Sport","daily life","0"
"television","Television","Télévision","daily life","0"
"tourism","Tourism","Tourisme","daily life","0"
"transport","Transport","Transport","technology","0"
"video games","Video games","Jeux video","daily life","0"
"women","Women","Femme","society","0"
