id, label, obsolete
"en","English","0"
"en_US","English (United States)","0"
"en_GB","English (United Kingdom)","0"
"fr","Français","0"
"fr_FR","Français (France)","0"
"fr_CA","Français (Canada)","0"
"de_DE","Deutsch","0"
"it_IT","Italiano","0"
"el_GR","Greek (Greece)","0"
"es_ES","Español","0"
"pt_PT","Português","0"
"pt_BR","Português (Brasil)","0"
"pl_PL","Polski","0"
"ca_ES","Català","0"
"nl_NL","Dutch","0"
"gl_ES","Galego","0"
"eu_ES","Basque","0"
"sr_RS","српски језик","0"
"ru_RU","русский язык","0"
"ar_SA","العربية","0"
"zh_CN","中文","0"
"ja_JP","日本語","0"
"vi_VN","Tiếng Việt","0"
"cs_CZ","čeština","0"
