id, label, obsolete
"Modification location1","label.directories.modification.location1","0"
"Modification location2","label.directories.modification.location2","0"
"Modification location3","label.directories.modification.location3","0"
"Modification location4","label.directories.modification.location4","0"
"Modification location5","label.directories.modification.location5","0"
"Modification location6","label.directories.modification.location6","0"
"Modification location7","label.directories.modification.location7","0"
"Modification location8","label.directories.modification.location8","0"
"Modification location9","label.directories.modification.location9","0"

