id, label, obsolete
"Restore location1","label.directories.restore.location.val1","0"
"Restore location2","label.directories.restore.location.val2","0"
"Restore location3","label.directories.restore.location.val3","0"
"Restore location4","label.directories.restore.location.val4","0"
"Restore location5","label.directories.restore.location.val5","0"
"Restore location6","label.directories.restore.location.val6","0"
"Restore location7","label.directories.restore.location.val7","0"
"Restore location8","label.directories.restore.location.val8","0"
"Restore location9","label.directories.restore.location.val9","0"

