id,label,obsolete,ordering
"documentCreated","documentCreated","0","0"
"documentSecurityUpdated","documentSecurityUpdated","0","10"
"documentModified","documentModified","0","30"
"documentRemoved","documentRemoved","0","40"
"documentCreatedByCopy","documentCreatedByCopy","0","50"
"documentDuplicated","documentDuplicated","0","60"
"documentImported","documentImported","0","70"
"documentLocked","documentLocked","0","80"
"documentUnlocked","documentUnlocked","0","90"
"documentPublished","documentPublished","0","100"
"documentProxyPublished","documentProxyPublished","0","110"
"documentProxyUpdated","documentProxyUpdated","0","120"
"documentRestored","documentRestored","0","130"
"documentCheckedOut","documentCheckedOut","0","140"
"documentCheckedIn","documentCheckedIn","0","150"
"loginSuccess","loginSuccess","0","200"
"loginFailed","loginFailed","0","210"
"logout","logout","0","220"
