id, label, obsolete
"en_US","English (United States)","0"
"en_GB","English (United Kingdom)","0"
"fr","Français","0"
"fr_CA","Français (Canada)","0"
"de","Deutsch","0"
"it","Italiano","0"
"el_GR","Greek (Greece)","0"
"es","Español","0"
"pt","Português","0"
"pt_BR","Português (Brasil)","0"
"pl","Polski","0"
"ca","Català","0"
"gl","Galego","0"
"eu","Basque","0"
"sr","српски језик","0"
"ru","русский язык","0"
"ar","العربية","0"
"zh_CN","中文","0"
"ja","日本語","0"
"vi","Tiếng Việt","0"
"cs","čeština","0"
